"experience_id","canonical_name","pattern"
"entry_level","Entry level","(?i)\b(0|1|2)\s*\+?\s*(years?|yrs?)\s*(of)?\s*experience\b|entry[\s-]?level|no experience (required|needed)?|\bjunior\b|graduate\s+(position|role|job)|\b(0|1|2)\s*ans?\s*d[’']exp[ée]rience|d[ée]butant(e)?|\bjunior\b|\b(0|1|2)\s*ann[oi]\s*di\s*esperienza|livello\s+base|neolaureat[oi]|\b(0|1|2)\s*jahr[e]?\s*(berufs)?erfahrung|berufseinsteiger|einsteiger"
"mid_level","Mid level","(?i)\b(3|4|5)\s*\+?\s*(years?|yrs?)\s*(of)?\s*experience\b|mid[\s-]?level|intermediate|\b(3|4|5)\s*ans?\s*d[’']exp[ée]rience|niveau\s+interm[ée]diaire|confirm[ée]|\b(3|4|5)\s*ann[oi]\s*di\s*esperienza|livello\s+intermedio|\b(3|4|5)\s*jahr[e]?\s*(berufs)?erfahrung|mittlere\s+erfahrung|fortgeschritten"
"senior_level","Senior level","(?i)\b([6-9]|\d{2,})\s*\+?\s*(years?|yrs?)\s*(of)?\s*experience\b|\bsenior\b|\bexpert\b|\b([6-9]|\d{2,})\s*ans?\s*d[’']exp[ée]rience|\bexpert(e)?\b|\b([6-9]|\d{2,})\s*ann[oi]\s*di\s*esperienza|\besperto\b|\b([6-9]|\d{2,})\s*jahr[e]?\s*(berufs)?erfahrung|erfahren(er)?"
