"contract_id","canonical_name","pattern"
"permanent","Permanent","\b(permanent|indefinite|open[- ]ended)\b|dur[ée]e\s+ind[ée]termin[ée]e|\bCDI\b|unbefristet|a\s+tempo\s+indetermin(ato|ata)|\bindetermin(ato|ata)\b"
"fixed_term","Fixed-term","\b(fixed[- ]term|temporary)\b|\bCDD\b|dur[ée]e\s+d[ée]termin[ée]e|befristet|a\s+tempo\s+determinat(o|a)|\bcontratto\s+a\s+termine\b"
"internship","Internship","\b(internship|intern)\b|\bstage\b|\bstagiaire\b|praktikum|praktikant(in)?|tirocinio|tirocinante"
"freelance","Freelance","\b(freelance|contractor)\b|ind[ée]pendant(e)?|selbstst[äa]ndig|freiberufl(er|ich)|libero\s+professionista|\blavoratore\s+autonomo\b|\bautonomo\b|contrat\s+de\s+mandat|mandatsvertrag"
"apprenticeship","Apprenticeship","\bapprenticeship\b|apprentissage|apprenti(e)?|ausbildung|auszubildende(r)?|\bazubi\b|apprendistato|apprendista"
"interim","Temporary agency work","\b(temp(orary)?\s+agency|staffing\s+agency)\b|\bint[ée]rim(aire)?\b|temporärarbeit|temporär(e)?\s*(einsatz|stelle|anstellung)|personalverleih|lavoro\s+interinale|\binterinale\b"
"on_call","On-call work","\bon[- ]call\b|contrat\s+sur\s+appel|travail\s+sur\s+appel|arbeit\s+auf\s+abruf|abrufarbeit|lavoro\s+a\s+chiamata|\ba\s+chiamata\b"
"seasonal","Seasonal","\bseasonal\b|contrat\s+saisonnier|travail\s+saisonnier|saisonarbeit|saisonnier(e)?|lavoro\s+stagionale|\bstagionale\b"
